Feature,Rank_IC_Mean,Rank_IC_IR,IC_T_Stat,Long_Short_Ret,Win_Rate,Abs_IC
pca_55,-0.06224872777502113,-0.5431702960832774,-2.6049532284832853,-0.053946432001828505,0.3333333333333333,0.06224872777502113
pca_75,0.058646701338584774,0.39899652043184297,1.9135200903791203,-0.024746768226735143,0.5416666666666666,0.058646701338584774
pca_64,0.05642610026293829,0.2509121999618004,1.2033326381605471,0.03489804674758793,0.5833333333333334,0.05642610026293829
pca_40,0.0551328137360799,0.34330105460932964,1.6464140196819246,0.024560807590744627,0.625,0.0551328137360799
pca_25,-0.052242728421340694,-0.37933088653109026,-1.819207023391963,-0.0032857693890055995,0.4583333333333333,0.052242728421340694
pca_43,0.05108817099374121,0.511464551155599,2.452897817489012,0.04810960208819639,0.6666666666666666,0.05108817099374121
pca_67,-0.049139793108398146,-0.39222163914154995,-1.881028901120431,-0.03189371244699269,0.375,0.049139793108398146
pca_66,0.049088376397184365,0.33260371371272335,1.5951113749943577,0.032843545941779496,0.4166666666666667,0.049088376397184365
pca_45,-0.043970985640396164,-0.2762149029065339,-1.3246801385679174,-0.05470472482055322,0.4583333333333333,0.043970985640396164
pca_29,0.04364706812901618,0.26170718617444305,1.2551035733328648,0.025722343056528162,0.625,0.04364706812901618
pca_74,-0.042340528367272756,-0.29186671713271356,-1.3997436026308643,0.007543197021377994,0.5416666666666666,0.042340528367272756
pca_13,0.03956011256210431,0.24943339501986755,1.1962405388031947,0.07524881496167912,0.7083333333333334,0.03956011256210431
pca_31,-0.037369447599092755,-0.25144302026427867,-1.2058783629003866,-0.032895280857551355,0.4583333333333333,0.037369447599092755
pca_27,0.03700076203978537,0.21783047269347305,1.0446782476814687,0.036044860135582016,0.625,0.03700076203978537
pca_32,0.03615489362849778,0.299944639065967,1.4384839552812205,0.03634722141495488,0.625,0.03615489362849778
pca_58,-0.03281287356340128,-0.2514393837538359,-1.2058609228089703,-0.04503334277738872,0.3333333333333333,0.03281287356340128
pca_46,-0.03267370844481148,-0.22825344593954128,-1.0946650713416077,-0.031044664008520077,0.4583333333333333,0.03267370844481148
pca_53,0.032606792222262614,0.3026079941179702,1.4512569573973915,0.028789723821681445,0.5833333333333334,0.032606792222262614
pca_1,-0.03173226987946055,-0.21333517050439815,-1.0231195357362866,-0.005625088283438387,0.4583333333333333,0.03173226987946055
pca_62,-0.03121162966243564,-0.19747421217904154,-0.947053051809592,-0.0051985876497821215,0.5,0.03121162966243564
pca_44,-0.031045197159794088,-0.21756898260436078,-1.0434241852690702,-0.04510327939377141,0.4166666666666667,0.031045197159794088
pca_52,-0.03091733009252946,-0.3011401562831147,-1.4442174544378803,-0.03628330229244475,0.3333333333333333,0.03091733009252946
pca_73,-0.029816350432898736,-0.16357562594582747,-0.7844811433566096,-0.03041163801986073,0.4583333333333333,0.029816350432898736
pca_16,-0.027125553577234535,-0.19221734934588974,-0.9218420233206315,-0.04595923378024821,0.375,0.027125553577234535
pca_23,-0.026617672441640112,-0.17216889076505404,-0.8256929936648303,-0.027396283025501875,0.5416666666666666,0.026617672441640112
pca_77,-0.02451493245513354,-0.16526926922755242,-0.7926035711963527,-0.015046753212535019,0.5,0.02451493245513354
pca_21,0.022944659990854963,0.16392450622755264,0.7861543144095692,0.018650148747276687,0.5833333333333334,0.022944659990854963
pca_79,-0.022615128000011597,-0.14119511615877134,-0.6771479890120367,-0.03982200384473234,0.4166666666666667,0.022615128000011597
pca_28,-0.022492794410460596,-0.16598805415775691,-0.7960507426231096,-0.007544297678376904,0.4583333333333333,0.022492794410460596
pca_17,-0.020781063793553503,-0.13637304529374614,-0.6540221495499011,-0.02478021029265873,0.375,0.020781063793553503
pca_60,0.019709628613055457,0.12822887166450833,0.6149640649274701,-0.0012607887989223507,0.375,0.019709628613055457
pca_36,0.018973572363452654,0.12750275831359753,0.611481747629674,0.03362344436225878,0.5416666666666666,0.018973572363452654
pca_78,-0.01718034363643001,-0.11761840857409317,-0.5640780715615111,0.009686704945241988,0.625,0.01718034363643001
pca_34,-0.016955922352086348,-0.1022456280305993,-0.4903528060300547,-0.01829488670002723,0.3333333333333333,0.016955922352086348
