symbol,report_year,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20
000166,2021,-3.454813,0.251049,-0.046571,0.088776,0.013532,0.161105,-0.148485,-0.1316,0.017684,-0.11706,0.036535,0.005514,0.040233,-0.033041,-0.03228,0.026066,-0.07413,0.002994,-0.008713,-0.030157
000301,2021,-1.572272,-0.413393,0.222866,0.318543,0.185408,0.374921,0.102181,-0.012545,-0.126901,0.018174,-0.108631,0.043597,0.143816,0.094428,0.047838,-0.078949,0.036278,0.029535,0.064345,-0.056602
000333,2021,7.020058,0.426167,-0.631137,-0.186681,0.188349,0.055236,-0.066903,-0.051402,0.101042,-0.098101,0.033556,0.069146,-0.147769,-0.08227,0.020841,-0.012634,0.03466,0.026823,-0.041583,0.004367
000338,2021,-5.357365,0.738247,-0.333374,-0.010838,0.348422,-0.256821,-0.124139,0.052748,-0.081939,-0.08968,-0.001572,-0.02575,0.057567,-0.133121,0.043791,0.003804,0.007463,0.008128,0.002621,-0.059853
000400,2021,-4.700336,0.818734,-0.425815,0.011783,0.167426,0.224953,0.554221,0.046974,-0.354758,0.226652,-0.102299,0.13078,-0.083158,0.008109,-0.014824,0.011536,0.025984,0.133166,0.073623,0.059803
000401,2021,-0.295453,-0.462896,0.330154,0.078448,-0.192822,0.025424,-0.084657,-0.008945,0.045721,-0.000804,0.074074,-0.077743,-0.071458,0.079489,-0.042417,0.032905,0.076727,0.034788,-0.073485,0.025418
000403,2021,3.269688,-0.506891,0.124697,-0.032011,0.047037,0.062423,0.091562,-0.089402,0.268046,0.089557,0.094267,0.078307,-0.072215,-0.173875,-0.009005,0.002733,0.010756,-0.015104,-0.070379,0.010382
000404,2021,-1.873244,-0.392052,0.211377,0.332075,0.260941,0.194974,0.069976,0.085734,-0.197392,-0.01956,-0.098392,0.033441,0.120199,0.135989,0.055568,-0.10456,0.063818,0.027625,0.070024,-0.0284
000407,2021,3.861944,-0.787337,0.169613,0.247205,0.770424,0.046485,0.177222,0.094439,0.211879,0.002378,0.0035,0.001569,0.024289,-0.048874,0.030655,-0.048817,-0.055485,0.070524,0.009432,-0.01562
000408,2021,9.254018,1.205888,-1.087125,0.231156,0.889141,0.047754,-0.319049,0.295671,0.122385,-0.051188,0.062513,0.158144,-0.034127,0.068233,0.062633,0.131822,-0.078792,-0.04366,0.038802,0.083205
000409,2021,-2.704214,0.071166,0.056918,0.071698,-0.155418,0.132874,-0.153157,-0.071785,0.056882,-0.059393,0.002455,-0.003451,-0.046437,0.009879,-0.054274,0.004219,0.002443,1.7e-05,-0.053971,0.006127
000410,2021,-4.68445,0.55965,-0.245005,-0.006105,0.120678,-0.02834,-0.195623,-0.049213,-0.002133,-0.191329,-0.002299,-0.031946,0.132782,-0.028845,-0.049954,-0.034257,0.080595,0.00601,0.000217,-0.029259
000411,2021,-4.986808,0.736553,-0.349751,-0.046904,0.176551,-0.056187,-0.088947,-0.055893,-0.042987,-0.140544,0.075692,-0.045183,0.06793,0.005184,-0.065317,-0.007943,0.034168,-0.03637,0.018476,-0.012927
000415,2021,11.282944,3.763558,-1.33643,1.212636,0.144599,0.329907,-0.454188,0.767622,-0.053135,0.061005,0.201209,-0.282918,-0.112265,-0.1467,-0.013678,0.311221,-0.06531,-0.095393,0.019726,-0.147589
000417,2021,0.17353,-0.739147,0.409573,0.22525,0.304076,0.008018,0.016929,-0.00293,-0.006894,0.075374,-0.008062,-0.108738,-0.015229,0.096254,-0.019879,-0.00993,0.008956,0.035448,-0.033755,-0.021068
000419,2021,-0.113006,-0.607664,0.382775,0.04428,-0.066058,-0.050086,-0.105145,-0.050634,0.070271,0.135332,-0.084797,-0.099961,-0.050425,0.006582,-0.058166,0.045869,0.068115,0.018873,-0.035911,-0.002592
000420,2021,9.043224,1.416817,-1.193081,-0.285041,0.178915,0.070398,-0.363951,-0.136277,-0.094482,0.087404,-0.079888,0.12816,-0.116762,0.092531,0.043258,-0.048996,0.035574,-0.039226,0.005729,-0.03155
000421,2021,-4.901976,1.017446,-0.561574,-0.076949,0.029167,0.348966,0.714017,-0.022438,-0.344995,0.313081,-0.10898,0.163389,-0.07086,-0.0133,-0.021487,0.089935,0.025134,0.189888,0.12533,0.124813
000422,2021,-2.226587,-0.316587,0.228743,0.205941,0.201145,-0.007986,-0.205699,-0.054436,-0.01879,0.025182,-0.06264,0.028167,0.071084,-0.027082,0.059092,-0.014196,0.051529,-0.06767,0.019533,-0.005152
000423,2021,-6.72161,1.507814,-0.798795,-0.296687,0.34016,-0.23692,0.37875,0.024547,-0.085014,0.242281,0.078467,-0.020678,-0.132956,-0.146342,0.084951,0.098946,0.080582,0.014208,0.009335,0.036872
000425,2021,2.756706,-0.989922,0.312817,0.199691,0.643353,-0.027174,0.191455,0.114968,0.155653,0.124959,-0.039994,0.031935,0.042175,0.064047,-0.035047,-0.090259,-0.047388,-0.001126,0.05779,0.006658
000426,2021,-1.67726,-0.199447,0.204744,0.155743,0.00766,0.200783,-0.029387,-0.125666,-0.038174,0.016266,0.05337,-0.075461,-0.103761,0.032475,-0.029774,0.000488,-0.02661,-0.04709,-0.082422,-0.017571
000428,2021,-1.77234,-0.281866,0.270599,0.191879,0.00097,0.140448,-0.200182,-0.124602,0.053947,-0.066811,0.050159,0.009804,0.104771,-0.043504,0.058028,0.062392,0.035487,0.027646,-0.041131,-0.012312
