symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
100,TCL科技,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1216280932&orgId=gssz0000100&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.002736
151,中成股份,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000151&announcementId=1216699387&orgId=gssz0000151&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.058203
153,丰原药业,2022,2023-04-20,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000153&announcementId=1216475905&orgId=gssz0000153&announcementTime=2023-04-20,2023-04-21,2023-07-21,0.050086
155,川能动力,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000155&announcementId=1216280861&orgId=gssz0000155&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.088542
156,华数传媒,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000156&announcementId=1216691911&orgId=gssz0000156&announcementTime=2023-04-29,2023-05-04,2023-07-31,-0.067343
158,常山北明,2022,2023-04-17,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000158&announcementId=1216416162&orgId=gssz0000158&announcementTime=2023-04-17,2023-04-18,2023-07-18,-0.07919
157,中联重科,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000157&announcementId=1216273464&orgId=gssz0000157&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.075316
159,国际实业,2022,2023-04-20,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000159&announcementId=1216476050&orgId=gssz0000159&announcementTime=2023-04-20,2023-04-21,2023-07-21,-0.140254
166,申万宏源,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000166&announcementId=1216276587&orgId=qsgn0000301&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.104101
333,美的集团,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000333&announcementId=1216695045&orgId=9900005965&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.088564
301,东方盛虹,2022,2023-04-18,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000301&announcementId=1216438050&orgId=gssz0000301&announcementTime=2023-04-18,2023-04-19,2023-07-19,-0.085322
400,许继电气,2022,2023-04-08,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000400&announcementId=1216356279&orgId=gssz0000400&announcementTime=2023-04-08,2023-04-10,2023-07-10,0.033608
