symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
600267,海正药业,2023,2024-04-30,浙江海正药业股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600267&announcementId=1219914871&orgId=gssh0600267&announcementTime=2024-04-30,2024-05-06,2024-07-30,-0.129312
600268,国电南自,2023,2024-03-29,国电南自2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600268&announcementId=1219444526&orgId=gssh0600268&announcementTime=2024-03-29,2024-04-01,2024-07-02,-0.002606
600269,赣粤高速,2023,2024-03-26,赣粤高速2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600269&announcementId=1219402277&orgId=gssh0600269&announcementTime=2024-03-26,2024-03-27,2024-06-27,0.138152
600271,航天信息,2023,2024-04-16,航天信息股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600271&announcementId=1219624727&orgId=gssh0600271&announcementTime=2024-04-16,2024-04-17,2024-07-16,-0.101901
600272,开开实业,2023,2024-03-30,2023年年度报告全文,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600272&announcementId=1219462412&orgId=gssh0600272&announcementTime=2024-03-30,2024-04-01,2024-07-02,-0.170182
600273,嘉化能源,2023,2024-03-30,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600273&announcementId=1219467105&orgId=gssh0600273&announcementTime=2024-03-30,2024-04-01,2024-07-02,-0.078637
600276,恒瑞医药,2023,2024-04-18,恒瑞医药2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600276&announcementId=1219650115&orgId=gssh0600276&announcementTime=2024-04-18,2024-04-19,2024-07-18,0.00854
600278,东方创业,2023,2024-04-27,东方创业2023年度报告全文,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600278&announcementId=1219875352&orgId=gssh0600278&announcementTime=2024-04-27,2024-04-29,2024-07-26,-0.06391
600279,重庆港,2023,2024-03-28,重庆港2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600279&announcementId=1219430535&orgId=gssh0600279&announcementTime=2024-03-28,2024-03-29,2024-07-01,-0.10455
600280,中央商场,2023,2024-04-26,南京中央商场（集团）股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600280&announcementId=1219832367&orgId=gssh0600280&announcementTime=2024-04-26,2024-04-29,2024-07-26,-0.135855
